Modulator	TF	significantTriplets	pvalue
Casp8	Zfp36l1	184	1.2581454766902311E-9
Cav1	Epas1	183	2.039871049852593E-9
Cav1	Nfkb1	143	0.005133768582017084
Cav1	Psmc3ip	144	0.003987619452512692
Cav1	Tcf7	1337	0.0
Cav1	Zfp36l1	259	0.0
Cav2	Nfkb1	341	0.0
Cav2	Tcf3	294	0.0
Cav2	Tgif1	248	0.0
Cav2	Zfp36l1	477	0.0
Cbl	Epas1	349	0.0
Cbl	Nfkb1	170	6.697008005929206E-7
Cbl	Psmc3ip	187	2.860919279257246E-10
Cbl	Tcf3	190	6.209965874859336E-11
Cbln1	Epas1	336	0.0
Cbln1	Nfkb1	221	0.0
Cbln1	Psmc3ip	252	0.0
Cbln1	Tcf3	305	0.0
Cbln1	Tcf7	236	0.0
Cbln1	Tgif1	206	8.43769498715119E-15
Ccdc88a	Tcf3	159	4.3155750089285405E-5
Cckbr	Tcf7	141	0.008350802592771323
Ccl19	Nfkb1	178	2.1108174430573E-8
